SC_project_short_code,SiteID,SampleSeason,SamplingSeasonCode,Year,SeasonSeq,TargetSpecies,PlotID,SixLetterCode,DepthMeasurement,Depth_mm,MusselDepthCode,MethodCode
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth02,50,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth03,60,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth04,80,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth05,120,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,4R,MYTCAL,Depth02,60,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,4R,MYTCAL,Depth03,60,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,4R,MYTCAL,Depth04,70,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,4R,MYTCAL,Depth05,70,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,5R,MYTCAL,Depth01,80,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,5R,MYTCAL,Depth02,60,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,5R,MYTCAL,Depth03,90,M,RQ
SC_Rocky_It,LEC,128,WN12,2012,4,mytilus,5R,MYTCAL,Depth04,70,M,RQ
SC_Rocky_It,SEQ,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth01,50,M,RQ
SC_Rocky_It,SEQ,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth02,70,M,RQ
SC_Rocky_It,SEQ,128,WN12,2012,4,mytilus,3R,MYTCAL,Depth03,60,M,RQ
SC_Rocky_It,SEQ,128,WN12,2012,4,mytilus,4R,MYTCAL,Depth01,80,M,RQ
SC_Rocky_It,SEQ,128,WN12,2012,4,mytilus,4R,MYTCAL,Depth02,50,M,RQ
SC_Rocky_It,SEQ,128,WN12,2012,4,mytilus,5R,MYTCAL,Depth01,40,M,RQ
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,1,MYTCAL,Depth03,100,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,1,MYTCAL,Depth05,60,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth01,80,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth02,70,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,2,MYTCAL,Depth03,70,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,3,MYTCAL,Depth02,70,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,3,MYTCAL,Depth03,80,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,3,MYTCAL,Depth04,90,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,4,MYTCAL,Depth01,60,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,4,MYTCAL,Depth03,70,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,4,MYTCAL,Depth04,80,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,4,MYTCAL,Depth05,90,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,5,MYTCAL,Depth01,80,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,5,MYTCAL,Depth03,50,M,PP
SC_Rocky_It,SHCO,123,FA11,2011,3,mytilus,5,MYTCAL,Depth05,60,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth01,23,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth02,14,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth03,25,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth04,56,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,1,MYTCAL,Depth05,35,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth01,67,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth02,59,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth03,41,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth04,49,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,2,MYTCAL,Depth05,41,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth01,35,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth02,55,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth03,63,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth04,35,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,3,MYTCAL,Depth05,32,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth01,45,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth02,22,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth03,31,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth04,31,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,4,MYTCAL,Depth05,28,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,5,MYTCAL,Depth01,55,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,5,MYTCAL,Depth02,52,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,5,MYTCAL,Depth03,30,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,5,MYTCAL,Depth04,12,M,PP
SC_Rocky_It,SHCO,127,FA12,2012,3,mytilus,5,MYTCAL,Depth05,38,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,1,MYTCAL,Depth01,55,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,1,MYTCAL,Depth02,17,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,1,MYTCAL,Depth03,27,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,1,MYTCAL,Depth04,53,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,1,MYTCAL,Depth05,56,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,2,MYTCAL,Depth01,86,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,2,MYTCAL,Depth02,28,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,2,MYTCAL,Depth03,50,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,2,MYTCAL,Depth04,35,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,2,MYTCAL,Depth05,22,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,4,MYTCAL,Depth01,36,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,4,MYTCAL,Depth02,25,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,4,MYTCAL,Depth03,33,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,4,MYTCAL,Depth04,25,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,4,MYTCAL,Depth05,39,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,5,MYTCAL,Depth01,44,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,5,MYTCAL,Depth02,24,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,5,MYTCAL,Depth03,43,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,5,MYTCAL,Depth04,29,M,PP
SC_Rocky_It,SHCO,131,FA13,2013,3,mytilus,5,MYTCAL,Depth05,22,M,PP
